client_id,number_contacts,month,day,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome
0,1,may,13,261,0,nonexistent,no
1,1,may,19,149,0,nonexistent,no
2,1,may,23,226,0,nonexistent,no
3,1,may,27,151,0,nonexistent,no
4,1,may,3,307,0,nonexistent,no
5,1,may,5,198,0,nonexistent,no
6,1,may,3,139,0,nonexistent,no
7,1,may,12,217,0,nonexistent,no
8,1,may,21,380,0,nonexistent,no
9,1,may,5,50,0,nonexistent,no
10,1,may,8,55,0,nonexistent,no
11,1,may,9,222,0,nonexistent,no
12,1,may,29,137,0,nonexistent,no
13,1,may,14,293,0,nonexistent,no
14,1,may,29,146,0,nonexistent,no
15,1,may,29,174,0,nonexistent,no
16,1,may,1,312,0,nonexistent,no
17,1,may,9,440,0,nonexistent,no
18,1,may,6,353,0,nonexistent,no
19,1,may,2,195,0,nonexistent,no
20,1,may,2,38,0,nonexistent,no
21,1,may,16,262,0,nonexistent,no
22,1,may,20,342,0,nonexistent,no
23,1,may,10,181,0,nonexistent,no
24,1,may,2,172,0,nonexistent,no
25,1,may,28,99,0,nonexistent,no
26,1,may,30,93,0,nonexistent,no
27,1,may,16,233,0,nonexistent,no
28,2,may,1,255,0,nonexistent,no
29,1,may,22,362,0,nonexistent,no
30,1,may,22,348,0,nonexistent,no
31,1,may,27,386,0,nonexistent,no
32,1,may,25,73,0,nonexistent,no
33,1,may,14,230,0,nonexistent,no
34,1,may,25,208,0,nonexistent,no
35,1,may,22,336,0,nonexistent,no
36,1,may,11,365,0,nonexistent,no
37,1,may,3,1666,0,nonexistent,no
38,1,may,2,577,0,nonexistent,no
39,1,may,20,137,0,nonexistent,no
40,1,may,5,366,0,nonexistent,no
41,1,may,25,314,0,nonexistent,no
42,1,may,22,160,0,nonexistent,no
43,1,may,1,212,0,nonexistent,no
44,1,may,17,188,0,nonexistent,no
45,1,may,28,22,0,nonexistent,no
46,1,may,15,616,0,nonexistent,no
47,1,may,3,178,0,nonexistent,no
48,1,may,26,355,0,nonexistent,no
49,2,may,26,225,0,nonexistent,no
50,1,may,3,160,0,nonexistent,no
51,1,may,9,266,0,nonexistent,no
52,1,may,11,253,0,nonexistent,no
53,1,may,13,179,0,nonexistent,no
54,2,may,12,269,0,nonexistent,no
55,1,may,8,135,0,nonexistent,no
56,1,may,17,161,0,nonexistent,no
57,1,may,8,787,0,nonexistent,no
58,1,may,8,145,0,nonexistent,no
59,1,may,18,174,0,nonexistent,no
60,1,may,3,449,0,nonexistent,no
61,1,may,23,812,0,nonexistent,no
62,1,may,27,164,0,nonexistent,no
63,1,may,29,366,0,nonexistent,no
64,1,may,19,357,0,nonexistent,no
65,1,may,15,232,0,nonexistent,no
66,1,may,16,91,0,nonexistent,no
67,1,may,21,273,0,nonexistent,no
68,2,may,29,158,0,nonexistent,no
69,1,may,4,177,0,nonexistent,no
70,1,may,28,200,0,nonexistent,no
71,1,may,26,172,0,nonexistent,no
72,1,may,18,176,0,nonexistent,no
73,1,may,14,211,0,nonexistent,no
74,1,may,26,214,0,nonexistent,no
75,1,may,20,1575,0,nonexistent,yes
76,1,may,16,349,0,nonexistent,no
77,2,may,28,337,0,nonexistent,no
78,1,may,30,272,0,nonexistent,no
79,1,may,21,208,0,nonexistent,no
80,1,may,29,193,0,nonexistent,no
81,1,may,29,212,0,nonexistent,no
82,2,may,27,165,0,nonexistent,no
83,1,may,6,1042,0,nonexistent,yes
84,1,may,23,20,0,nonexistent,no
85,1,may,12,246,0,nonexistent,no
86,2,may,23,529,0,nonexistent,no
87,1,may,21,192,0,nonexistent,no
88,1,may,19,1467,0,nonexistent,yes
89,2,may,17,188,0,nonexistent,no
90,2,may,29,180,0,nonexistent,no
91,1,may,5,48,0,nonexistent,no
92,2,may,2,213,0,nonexistent,no
93,1,may,27,545,0,nonexistent,no
94,1,may,28,583,0,nonexistent,no
95,1,may,25,221,0,nonexistent,no
96,1,may,17,426,0,nonexistent,no
97,1,may,27,287,0,nonexistent,no
98,1,may,30,197,0,nonexistent,no
99,1,may,3,257,0,nonexistent,no
100,1,may,25,229,0,nonexistent,no
101,3,may,30,55,0,nonexistent,no
102,1,may,27,400,0,nonexistent,no
103,1,may,19,197,0,nonexistent,no
104,1,may,24,190,0,nonexistent,no
105,1,may,8,21,0,nonexistent,no
106,2,may,22,300,0,nonexistent,no
107,2,may,9,123,0,nonexistent,no
108,1,may,15,293,0,nonexistent,no
109,1,may,9,325,0,nonexistent,no
110,1,may,4,514,0,nonexistent,no
111,2,may,1,849,0,nonexistent,no
112,1,may,25,194,0,nonexistent,no
113,2,may,4,212,0,nonexistent,no
114,2,may,6,337,0,nonexistent,no
115,1,may,20,286,0,nonexistent,no
116,2,may,31,247,0,nonexistent,no
117,1,may,24,518,0,nonexistent,no
118,1,may,6,364,0,nonexistent,no
119,1,may,26,178,0,nonexistent,no
120,1,may,21,98,0,nonexistent,no
121,1,may,1,439,0,nonexistent,no
122,1,may,18,139,0,nonexistent,no
123,1,may,9,79,0,nonexistent,no
124,1,may,26,175,0,nonexistent,no
125,2,may,21,262,0,nonexistent,no
126,1,may,31,61,0,nonexistent,no
127,1,may,24,78,0,nonexistent,no
128,2,may,23,102,0,nonexistent,no
129,1,may,12,579,0,nonexistent,yes
130,1,may,29,143,0,nonexistent,no
131,1,may,20,677,0,nonexistent,no
132,1,may,22,267,0,nonexistent,no
133,1,may,12,345,0,nonexistent,no
134,1,may,19,185,0,nonexistent,no
135,1,may,5,207,0,nonexistent,no
136,2,may,26,69,0,nonexistent,no
137,2,may,19,100,0,nonexistent,no
138,2,may,28,125,0,nonexistent,no
139,1,may,27,461,0,nonexistent,yes
140,1,may,16,240,0,nonexistent,no
141,1,may,22,70,0,nonexistent,no
142,1,may,24,193,0,nonexistent,no
143,1,may,17,136,0,nonexistent,no
144,1,may,24,73,0,nonexistent,no
145,1,may,6,528,0,nonexistent,no
146,1,may,11,541,0,nonexistent,no
147,1,may,16,338,0,nonexistent,no
148,1,may,28,163,0,nonexistent,no
149,1,may,25,87,0,nonexistent,no
150,1,may,3,301,0,nonexistent,no
151,1,may,22,46,0,nonexistent,no
152,1,may,8,52,0,nonexistent,no
153,1,may,3,204,0,nonexistent,no
154,1,may,12,155,0,nonexistent,no
155,1,may,15,98,0,nonexistent,no
156,1,may,25,71,0,nonexistent,no
157,1,may,29,243,0,nonexistent,no
158,2,may,7,186,0,nonexistent,no
159,2,may,27,579,0,nonexistent,no
160,2,may,3,165,0,nonexistent,no
161,2,may,9,163,0,nonexistent,no
162,1,may,29,46,0,nonexistent,no
163,3,may,15,559,0,nonexistent,no
164,1,may,18,2033,0,nonexistent,no
165,1,may,22,85,0,nonexistent,no
166,1,may,4,506,0,nonexistent,no
167,2,may,12,114,0,nonexistent,no
168,2,may,19,114,0,nonexistent,no
169,2,may,25,843,0,nonexistent,no
170,1,may,12,181,0,nonexistent,no
171,1,may,5,427,0,nonexistent,no
172,1,may,24,292,0,nonexistent,no
173,1,may,7,192,0,nonexistent,no
174,3,may,2,93,0,nonexistent,no
175,2,may,9,128,0,nonexistent,no
176,1,may,29,107,0,nonexistent,no
177,2,may,13,303,0,nonexistent,no
178,1,may,11,81,0,nonexistent,no
179,1,may,30,270,0,nonexistent,no
180,1,may,12,228,0,nonexistent,no
181,1,may,31,240,0,nonexistent,no
182,2,may,20,673,0,nonexistent,yes
183,3,may,8,233,0,nonexistent,no
184,1,may,13,102,0,nonexistent,no
185,1,may,19,461,0,nonexistent,no
186,1,may,20,250,0,nonexistent,no
187,1,may,3,130,0,nonexistent,no
188,1,may,18,252,0,nonexistent,no
189,1,may,19,138,0,nonexistent,no
190,1,may,10,412,0,nonexistent,no
191,2,may,19,179,0,nonexistent,no
192,2,may,7,19,0,nonexistent,no
193,2,may,26,228,0,nonexistent,no
194,1,may,31,55,0,nonexistent,no
195,1,may,6,717,0,nonexistent,no
196,1,may,7,313,0,nonexistent,no
197,1,may,29,289,0,nonexistent,no
198,2,may,25,683,0,nonexistent,no
199,1,may,29,1077,0,nonexistent,no
200,2,may,9,146,0,nonexistent,no
201,1,may,15,167,0,nonexistent,no
202,2,may,20,356,0,nonexistent,no
203,1,may,13,277,0,nonexistent,no
204,1,may,9,172,0,nonexistent,no
205,1,may,10,218,0,nonexistent,no
206,1,may,4,217,0,nonexistent,no
207,1,may,26,67,0,nonexistent,no
208,1,may,8,291,0,nonexistent,no
209,1,may,24,248,0,nonexistent,no
210,1,may,19,256,0,nonexistent,no
211,1,may,25,286,0,nonexistent,no
212,1,may,31,477,0,nonexistent,no
213,2,may,5,611,0,nonexistent,no
214,1,may,14,471,0,nonexistent,no
215,2,may,22,381,0,nonexistent,no
216,1,may,2,251,0,nonexistent,no
217,1,may,20,408,0,nonexistent,no
218,1,may,29,287,0,nonexistent,no
219,3,may,9,322,0,nonexistent,no
220,2,may,20,216,0,nonexistent,no
221,2,may,26,366,0,nonexistent,no
222,1,may,26,210,0,nonexistent,no
223,1,may,19,288,0,nonexistent,no
224,1,may,15,168,0,nonexistent,no
225,1,may,17,132,0,nonexistent,no
226,2,may,26,64,0,nonexistent,no
227,2,may,8,209,0,nonexistent,no
228,3,may,9,410,0,nonexistent,no
229,1,may,19,177,0,nonexistent,no
230,2,may,6,580,0,nonexistent,no
231,1,may,23,165,0,nonexistent,no
232,2,may,27,127,0,nonexistent,no
233,1,may,17,357,0,nonexistent,no
234,1,may,10,175,0,nonexistent,no
235,1,may,6,300,0,nonexistent,no
236,1,may,19,136,0,nonexistent,no
237,2,may,24,125,0,nonexistent,no
238,2,may,4,189,0,nonexistent,no
239,3,may,2,213,0,nonexistent,no
240,2,may,10,238,0,nonexistent,no
241,1,may,4,124,0,nonexistent,no
242,1,may,2,18,0,nonexistent,no
243,2,may,17,730,0,nonexistent,no
244,1,may,11,40,0,nonexistent,no
245,2,may,16,181,0,nonexistent,no
246,1,may,20,79,0,nonexistent,no
247,2,may,6,142,0,nonexistent,no
248,1,may,10,389,0,nonexistent,no
249,1,may,24,702,0,nonexistent,no
250,1,may,23,151,0,nonexistent,no
251,1,may,7,211,0,nonexistent,no
252,1,may,26,117,0,nonexistent,no
253,3,may,24,232,0,nonexistent,no
254,2,may,8,408,0,nonexistent,no
255,3,may,15,370,0,nonexistent,no
256,2,may,6,179,0,nonexistent,no
257,1,may,1,46,0,nonexistent,no
258,1,may,22,200,0,nonexistent,no
259,1,may,4,50,0,nonexistent,no
260,1,may,7,181,0,nonexistent,no
261,1,may,26,119,0,nonexistent,no
262,1,may,17,361,0,nonexistent,no
263,3,may,16,73,0,nonexistent,no
264,2,may,24,67,0,nonexistent,no
265,1,may,10,350,0,nonexistent,no
266,2,may,18,150,0,nonexistent,no
267,2,may,9,332,0,nonexistent,no
268,2,may,13,611,0,nonexistent,no
269,3,may,25,58,0,nonexistent,no
270,1,may,26,151,0,nonexistent,no
271,2,may,10,89,0,nonexistent,no
272,1,may,5,152,0,nonexistent,no
273,2,may,25,611,0,nonexistent,no
274,2,may,28,110,0,nonexistent,no
275,1,may,16,463,0,nonexistent,no
276,1,may,8,962,0,nonexistent,no
277,2,may,22,102,0,nonexistent,no
278,4,may,4,10,0,nonexistent,no
279,3,may,31,118,0,nonexistent,no
280,2,may,4,92,0,nonexistent,no
281,3,may,10,143,0,nonexistent,no
282,3,may,9,189,0,nonexistent,no
283,2,may,18,75,0,nonexistent,no
284,2,may,28,189,0,nonexistent,no
285,2,may,11,55,0,nonexistent,no
286,3,may,31,935,0,nonexistent,yes
287,2,may,25,56,0,nonexistent,no
